instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,Time
1,2011-01-01,springer,2011,January,00:00:00,0,Saturday,0,1,2.551020408163266,3.0014000000000003,81.0,0.0,3,13,16,Evening
2,2011-01-01,springer,2011,January,01:00:00,0,Saturday,0,1,1.591836734693878,1.9982000000000006,80.0,0.0,8,32,40,Evening
3,2011-01-01,springer,2011,January,02:00:00,0,Saturday,0,1,1.591836734693878,1.9982000000000006,80.0,0.0,5,27,32,Evening
4,2011-01-01,springer,2011,January,03:00:00,0,Saturday,0,1,2.551020408163266,3.0014000000000003,75.0,0.0,3,10,13,Morning
5,2011-01-01,springer,2011,January,04:00:00,0,Saturday,0,1,2.551020408163266,3.0014000000000003,75.0,0.0,0,1,1,Morning
6,2011-01-01,springer,2011,January,05:00:00,0,Saturday,0,2,2.551020408163266,1.0015999999999998,75.0,0.0896,0,1,1,Morning
7,2011-01-01,springer,2011,January,06:00:00,0,Saturday,0,1,1.591836734693878,1.9982000000000006,80.0,0.0,2,0,2,Morning
8,2011-01-01,springer,2011,January,07:00:00,0,Saturday,0,1,0.6326530612244916,1.0015999999999998,86.0,0.0,1,2,3,Morning
9,2011-01-01,springer,2011,January,08:00:00,0,Saturday,0,1,2.551020408163266,3.0014000000000003,75.0,0.0,1,7,8,Morning
10,2011-01-01,springer,2011,January,09:00:00,0,Saturday,0,1,6.387755102040817,7.000999999999998,76.0,0.0,8,6,14,Morning
11,2011-01-01,springer,2011,January,10:00:00,0,Saturday,0,1,9.26530612244898,9.997399999999999,76.0,0.2537,12,24,36,Morning
12,2011-01-01,springer,2011,January,11:00:00,0,Saturday,0,1,8.306122448979593,5.997799999999998,81.0,0.2836,26,30,56,Day
13,2011-01-01,springer,2011,January,12:00:00,0,Saturday,0,1,11.183673469387752,11.997200000000003,77.0,0.2836,29,55,84,Day
14,2011-01-01,springer,2011,January,13:00:00,0,Saturday,0,2,13.102040816326532,13.997,72.0,0.2985,47,47,94,Day
15,2011-01-01,springer,2011,January,14:00:00,0,Saturday,0,2,13.102040816326532,13.997,72.0,0.2836,35,71,106,Day
16,2011-01-01,springer,2011,January,15:00:00,0,Saturday,0,2,12.142857142857142,13.000399999999999,77.0,0.2985,40,70,110,Day
17,2011-01-01,springer,2011,January,16:00:00,0,Saturday,0,2,11.183673469387752,11.997200000000003,82.0,0.2985,41,52,93,Afternoon
18,2011-01-01,springer,2011,January,17:00:00,0,Saturday,0,2,12.142857142857142,13.000399999999999,82.0,0.2836,15,52,67,Afternoon
19,2011-01-01,springer,2011,January,18:00:00,0,Saturday,0,3,11.183673469387752,11.997200000000003,88.0,0.2537,9,26,35,Afternoon
20,2011-01-01,springer,2011,January,19:00:00,0,Saturday,0,3,11.183673469387752,11.997200000000003,88.0,0.2537,6,31,37,Evening
21,2011-01-01,springer,2011,January,20:00:00,0,Saturday,0,2,10.224489795918366,11.000600000000002,87.0,0.2537,11,25,36,Evening
22,2011-01-01,springer,2011,January,21:00:00,0,Saturday,0,2,10.224489795918366,11.000600000000002,87.0,0.194,3,31,34,Evening
23,2011-01-01,springer,2011,January,22:00:00,0,Saturday,0,2,10.224489795918366,11.000600000000002,94.0,0.2239,11,17,28,Evening
24,2011-01-01,springer,2011,January,23:00:00,0,Saturday,0,2,13.102040816326532,13.997,88.0,0.2985,15,24,39,Evening
25,2011-01-02,springer,2011,January,00:00:00,0,Sunday,0,2,13.102040816326532,13.997,88.0,0.2985,4,13,17,Evening
26,2011-01-02,springer,2011,January,01:00:00,0,Sunday,0,2,12.142857142857142,13.000399999999999,94.0,0.2537,1,16,17,Evening
27,2011-01-02,springer,2011,January,02:00:00,0,Sunday,0,2,11.183673469387752,11.997200000000003,100.0,0.2836,1,8,9,Evening
28,2011-01-02,springer,2011,January,03:00:00,0,Sunday,0,2,13.102040816326532,13.997,94.0,0.194,2,4,6,Morning
29,2011-01-02,springer,2011,January,04:00:00,0,Sunday,0,2,13.102040816326532,13.997,94.0,0.194,2,1,3,Morning
